Tone,Positive Score,Negative Score,Polarity,Activity Reference Density,Self/Group Reference Density,Word Count,Country
1.5592882008132924,3.855454308130262,2.2961661073169695,6.151620415447233,19.84155381010571,1.3817146387248034,343.44131161236425,United Arab Emirates
-6.885989560515409,0.7602151470984162,7.64620470761383,8.406419854712233,18.76968007362798,0.15096873810228886,195.42857142857144,Afghanistan
-2.313638902393161,2.641404431883259,4.955043334276418,7.596447766159675,19.68171065859048,0.08676335843761707,261.48055555555555,Algeria
-0.28523876823742245,2.9633176107464334,3.2485563789838565,6.211873989730291,21.904278024396714,0.7102936817962198,486.76798727588204,Azerbaijan
-1.4736945923248508,3.6402043655654768,5.113898957890326,8.754103323455801,22.334504545799412,1.6542793777776874,1632.8165060468632,Albania
-2.4063977109277683,2.2898442314194534,4.696241942347219,6.986086173766677,19.9947449030198,0.48599923563700587,413.8583333333333,Armenia
-4.586432383025496,2.18979102299728,6.776223406022775,8.966014429020058,20.061469068699974,0.07776468736140071,352.25,Angola
-0.9552536568290562,2.4426251556482943,3.3978788124773507,5.840503968125645,21.005772256694176,0.5714542992215742,347.9935562927012,Argentina
-1.4484094529751594,2.8244623928220056,4.272871845797164,7.09733423861917,22.73393404668871,0.9662089225885941,516.7084467120181,Australia
-0.6134580804959578,2.678462849311779,3.2919209298077363,5.970383779119516,22.325254947097562,0.690908028088357,359.21272053907626,Austria
-1.447501677034552,3.19935642830948,4.646858105344034,7.8462145336535105,19.146009102622575,0.942948219754322,364.725,Bahrain
2.2872417162825966,3.139164033708225,0.8519223174256306,3.991086351133855,22.875459486550383,2.452628092516309,445.3333333333333,Barbados
-2.14007782101167,1.75097276264591,3.89105058365759,5.6420233463035,24.124513618677,0.972762645914397,470.0,Botswana
1.08695652173913,2.06521739130435,0.978260869565218,3.04347826086957,20.7608695652174,1.41304347826087,830.0,Bermuda
-1.6972176124585334,2.281250691896305,3.978468304354839,6.259718996251145,24.15975642911954,0.9738137632113347,261.21286166470503,Belgium
4.40835266821346,5.56844547563805,1.16009280742459,6.72853828306264,20.4176334106729,0.580046403712297,772.0,Bahamas
-1.6733211071275513,2.8768331997645236,4.550154306892076,7.426987506656597,23.054001679970135,0.3823886549538429,314.8756235827664,Bangladesh
-0.5235453294357693,3.2817877836657,3.805333113101467,7.087120896767169,24.621568581721352,0.8047737376798685,240.68864468864473,Bosnia-Herzegovina
-3.3225257081687967,2.1268635605833497,5.449389268752144,7.576252829335497,20.062951149665476,0.45034067765013813,307.72505668934235,Bolivia
-1.9259550621416288,1.6537533973716894,3.5797084595133177,5.2334618568850075,21.62358479055995,0.20829125724595776,372.0833333333333,Benin
-0.43114399223737837,3.1876454547272384,3.6187894469646156,6.806434901691853,21.475543981786384,0.5591516234318828,383.364566411849,Belarus
-0.933649611313622,2.9191503597722916,3.852799971085915,6.771950330858208,24.476590336762346,0.4406686492299334,324.8004960922485,Brazil
-1.3594303673120613,2.7439517000901636,4.103382067402224,6.847333767492388,22.09329783759362,0.7944972638645981,527.2008455407463,Bulgaria
-1.8586415062478863,2.4305555555555562,4.289197061803442,6.719752617358997,16.80640607306752,0.39682539682539625,46.5,Brunei
-1.2613870164746734,2.620160582241355,3.88154759871603,6.501708180957387,22.20226521221388,0.9664616395289037,497.32849258678186,Canada
-0.8823868501448706,2.2824634838982947,3.164850334043165,5.44731381794146,20.56586872217087,0.5581317321634442,464.41999999999996,Sri Lanka
-1.929394145850497,2.032619633795304,3.962013779645801,5.994633413441106,21.599979186714634,1.1279457808197149,298.91666666666663,Congo
0.14828836140496846,3.5655377379256765,3.417249376520708,6.982787114446384,25.68020099108112,0.39274438855863514,703.5878022366978,China
-1.2662406776711517,2.535450527722514,3.801691205393667,6.337141733116179,20.727943545257233,0.7196482380392367,298.7301244153824,Chile
-2.2531928319295997,2.0260824559546946,4.279275287884292,6.305357743838982,18.160373994810175,0.19284263638141919,443.25,Cameroon
-0.8877464899320434,2.5893766222639294,3.4771231121959736,6.066499734459902,20.484462548856985,0.4346303764868897,442.80957858468065,Colombia
-1.3879846763028112,2.279348255168396,3.6673329314712064,5.946681186639605,19.65534800717471,1.6889922362120189,351.6111111111111,Costa Rica
1.01713388515419,3.24423408179753,2.2271001966433452,5.47133427844088,16.29776985106935,0.577354003749943,349.5,Central African Republic
-0.7109921559514897,2.5692167917834845,3.280208947734973,5.849425739518456,17.754607557151942,0.2912446923621012,562.4503787878788,Cuba
-1.594796722117492,3.0200624909000875,4.61485921301758,7.634921703917664,20.85021949531674,0.6589999994239946,302.3792943898207,Cyprus
-2.114227233073119,2.442280218132162,4.556507451205281,6.998787669337442,24.895782083663722,1.4272589002185645,355.6474656529279,Denmark
-2.1451254257780574,2.7939869691553696,4.939112394933428,7.733099364088799,18.97440372670829,0.38562844434889887,306.3878205128205,Dominican Republic
-0.9180222412301688,2.2909689700058604,3.208991211236031,5.4999601812418915,19.12663404014782,0.4058230888557361,332.39479983229984,Ecuador
-0.19521122039173103,3.817547929901703,4.012759150293435,7.830307080195136,20.125356518967095,1.158737305189478,275.4119080091448,Egypt
-1.4154689528932483,2.552677591767142,3.9681465446603914,6.520824136427534,22.38746426150501,1.6549259495045023,586.1586734693877,Ireland
0.109381971959406,2.899816502373695,2.7904345304142883,5.690251032787984,20.78914012757026,0.9009508033209007,386.97142857142853,Estonia
-1.86567164179105,1.49253731343284,3.35820895522388,4.85074626865672,17.910447761194,0.0,234.0,Eritrea
-0.5621435158835008,3.974560536040663,4.53670405192417,8.511264587964831,20.07076243190094,0.7962548300162983,256.6075396825397,El Salvador
